id,genre
101669,Thriller
10167,Crime
10167,Action
10167,Thriller
10168,Comedy
10168,Crime
10169,Comedy
10169,Crime
10170,Drama
10170,Action
10170,Thriller
10170,Romance
10171,Romance
10171,Drama
10172,Comedy
10172,Family
10172,Drama
101724,Horror
10173,Action
10173,Thriller
101731,Comedy
101731,Drama
101733,Comedy
101733,Horror
10174,Documentary
10174,Music
101740,Crime
101740,Drama
101752,Drama
101752,Romance
10176,Drama
10176,Science Fiction
10176,Thriller
101766,Drama
101766,Foreign
10177,Comedy
10177,Horror
10177,Science Fiction
101772,Drama
101772,War
10178,Drama
10178,War
101783,Action
101783,Thriller
101783,Foreign
10179,Action
10179,Science Fiction
10179,Comedy
101791,Horror
101791,Thriller
1018,Thriller
1018,Drama
1018,Mystery
10180,Action
10180,Comedy
10180,Crime
101801,Music
101801,Comedy
101801,Documentary
101803,Documentary
101806,Animation
101806,Comedy
101806,Family
101806,Horror
101806,Thriller
101818,Drama
10183,Drama
101838,Crime
101838,Drama
101838,Thriller
10184,Comedy
10184,Romance
10184,Drama
10185,Mystery
10185,Drama
10185,Crime
10185,Thriller
10185,Horror
101852,Thriller
101852,Mystery
101852,Romance
101858,Comedy
10186,Comedy
10186,Music
101860,Documentary
10187,Drama
10187,Comedy
10188,Adventure
10188,Comedy
10188,Drama
10188,Family
101887,Comedy
101887,Drama
10189,Action
10189,Comedy
101897,Adventure
101897,Comedy
10190,Drama
101904,Fantasy
101904,Drama
101908,Drama
10191,Fantasy
10191,Adventure
10191,Animation
10191,Family
101915,Drama
101916,Thriller
101916,Drama
101917,Drama
10192,Comedy
10192,Adventure
10192,Fantasy
10192,Animation
10192,Family
101929,Crime
101929,Drama
10193,Animation
10193,Family
10193,Comedy
10195,Adventure
10195,Fantasy
10195,Action
101956,Drama
10196,Action
10196,Adventure
10196,Family
10196,Fantasy
101965,Foreign
101965,Drama
101968,Drama
10197,Drama
10197,Music
10197,Romance
10198,Romance
10198,Family
10198,Animation
10198,Music
10199,Adventure
10199,Animation
10199,Family
101998,Drama
102,Drama
102,Romance
10200,Drama
10200,Science Fiction
10200,Thriller
102000,Drama
102001,Drama
10201,Comedy
102016,Drama
102016,Foreign
10202,Fantasy
10202,Comedy
10202,Family
10202,Romance
102024,Drama
102024,Romance
102032,Drama
102032,Documentary
102038,Drama
102038,Romance
102039,Comedy
102039,Science Fiction
10204,Action
10204,Adventure
10204,Comedy
102041,Documentary
102041,History
10205,Comedy
10205,Foreign
10205,Horror
10205,Thriller
102051,Comedy
102051,Romance
102053,Comedy
102057,Comedy
102059,Action
102059,Comedy
10206,Action
10206,Comedy
10206,Horror
10207,Romance
10207,Drama
102078,War
102078,Drama
10208,Fantasy
10208,Comedy
10208,Science Fiction
10208,Family
102081,Drama
102081,Romance
102081,War
10209,Romance
10209,Drama
102091,Comedy
102091,Drama
102091,War
10210,Fantasy
10210,Drama
10210,Comedy
10210,Romance
10212,Comedy
10212,Horror
10212,Thriller
10212,Western
10213,Western
10213,Horror
10213,Thriller
10214,Fantasy
10214,Comedy
10214,Family
10214,Adventure
102144,Comedy
10215,Comedy
10215,Drama
10215,Fantasy
10215,Romance
102155,History
102155,War
10216,Science Fiction
10216,Action
10216,Horror
102161,Animation
102165,Drama
102165,War
10217,Drama
10218,Comedy
10218,Romance
10219,Drama
10219,Romance
102195,Comedy
102195,Science Fiction
102197,Action
102197,Thriller
102198,Drama
102198,Romance
10220,Drama
10220,Crime
102207,Adventure
102207,Comedy
10222,Action
10222,Thriller
102222,Drama
102222,Action
102227,Comedy
102227,Foreign
10223,Drama
10223,Crime
10223,Thriller
102234,Action
102234,Crime
102242,Music
102242,Drama
10225,Horror
10225,Mystery
10225,Thriller
102256,Mystery
102256,Drama
102256,Fantasy
102256,Horror
102256,Thriller
10226,Horror
10226,Thriller
10226,Mystery
10227,Comedy
102272,Drama
10228,Animation
102286,Drama
102288,Action
102288,Western
102289,Western
10229,Drama
10229,Romance
102292,Drama
102295,Adventure
102295,Drama
1023,Drama
1023,Comedy
1023,Crime
102304,Drama
102305,Drama
10232,Drama
102331,Drama
102337,Drama
10234,Drama
10234,Horror
10234,Thriller
10235,Drama
10235,History
10235,War
10236,Drama
10236,Romance
102362,Thriller
102362,Action
102362,Crime
102362,Drama
102363,Drama
102363,Action
10237,Crime
10237,Drama
10237,Thriller
10238,Drama
102382,Action
102382,Adventure
102382,Fantasy
102384,Adventure
102384,Comedy
102384,Romance
10239,Drama
10239,Romance
1024,Drama
1024,Fantasy
102406,Drama
10241,Comedy
10241,Foreign
102410,Music
102419,Thriller
10242,Drama
10242,Horror
10242,Thriller
102420,Comedy
102420,Horror
102428,Drama
102428,Music
10243,Adventure
10243,Drama
102431,Drama
102431,Family
10244,Drama
102444,Science Fiction
102444,Western
10246,Comedy
102461,Drama
10247,Romance
10247,Comedy
10247,Drama
10248,Comedy
102488,Western
102489,Drama
102489,Romance
10249,Action
10249,Adventure
10249,Science Fiction
10249,Family
10251,Horror
10251,Thriller
102517,TV Movie
102517,Comedy
102524,Drama
102524,Comedy
102526,Adventure
102526,Drama
10253,Fantasy
10253,Drama
10253,Horror
10253,Action
10253,Thriller
10253,Science Fiction
102534,Thriller
10254,Crime
10254,Action
10254,Thriller
102541,War
102541,Drama
102541,Romance
10257,Adventure
10257,Action
10257,Comedy
10257,Science Fiction
10258,Animation
10258,Comedy
10258,Family
102596,Documentary
102596,War
102597,Drama
102597,Family
10260,Comedy
10261,Fantasy
10261,Comedy
102622,Music
102622,Documentary
102629,Adventure
102629,Drama
102629,Action
102629,Thriller
10263,Fantasy
10263,Horror
10263,Thriller
102630,Action
102630,Thriller
102632,Action
102639,Drama
10264,Drama
10264,History
102640,Drama
10265,Drama
10265,Action
10265,Comedy
10265,Thriller
102651,Fantasy
102651,Adventure
102651,Action
102651,Family
102651,Romance
102668,Comedy
10268,Comedy
10269,Music
10269,Drama
10269,Romance
102691,Documentary
102699,Drama
102699,Crime
102699,Thriller
10270,Action
10270,Drama
10271,Comedy
10271,Romance
10272,Horror
10272,Thriller
102732,Comedy
102732,Romance
10274,Thriller
10274,Crime
10274,Drama
102743,Comedy
10275,Action
10276,Comedy
10278,Drama
10278,Thriller
10278,Romance
102780,Drama
102780,Fantasy
102780,Thriller
102784,Action
102784,Crime
102784,Drama
10279,Thriller
10279,Drama
10279,Crime
10279,Romance
10280,Horror
10280,Thriller
102807,Documentary
102809,Documentary
10281,Horror
10281,Thriller
102812,Documentary
102812,Music
102812,Comedy
102814,Documentary
102814,Music
10283,Horror
10283,Thriller
102831,Comedy
102841,Comedy
10285,Fantasy
10285,Horror
10285,Thriller
102855,Documentary
102858,Drama
102860,Drama
102860,Foreign
102862,Drama
102862,Comedy
102862,Thriller
102862,Documentary
102867,Romance
102867,Documentary
102867,Comedy
102870,Crime
102870,Drama
102870,Comedy
102871,Drama
102873,Documentary
102878,Drama
10288,Romance
10288,Comedy
10288,Drama
10288,Horror
102899,Science Fiction
102899,Action
102899,Adventure
102909,Family
102909,Foreign
102913,Drama
10292,Horror
10292,Thriller
10293,Romance
10293,Comedy
10293,Drama
102931,TV Movie
102931,Drama
102931,Crime
102933,Drama
102935,Crime
102935,Documentary
102938,Action
102938,Drama
10294,Horror
10294,Thriller
102949,Action
102949,Comedy
102949,Western
102959,Western
102959,Comedy
10296,Drama
102961,Action
102961,Drama
10297,Comedy
10297,Romance
10299,Crime
10299,Drama
10299,Horror
10299,Mystery
10299,Thriller
103,Crime
103,Drama
103012,Drama
103014,Family
10303,Action
10303,Adventure
10303,Comedy
10303,Romance
10304,Adventure
10304,Horror
10304,Action
10304,Science Fiction
103048,Foreign
10305,Drama
10305,Crime
10305,Mystery
10306,Horror
10306,Thriller
103066,Comedy
103066,Romance
103066,Foreign
103067,Thriller
10307,Horror
103073,Drama
103073,Crime
103073,Foreign
10308,Drama
10309,Drama
10310,Drama
10311,Thriller
10311,Drama
103119,War
103119,Western
10312,Comedy
10312,Drama
103122,Comedy
10313,Comedy
10313,War
10314,Comedy
10314,Romance
10315,Adventure
10315,Animation
10315,Comedy
10315,Family
10316,Drama
103161,Documentary
103162,Comedy
103162,Documentary
103164,Western
103168,Action
103168,Western
10317,Comedy
10317,Drama
103173,Fantasy
103173,Animation
10319,Drama
103194,Animation
103194,Documentary
103195,Documentary
103198,Drama
103199,Drama
103199,Romance
10320,Drama
10320,Horror
10320,Thriller
103201,Action
103201,Thriller
103203,War
103203,Drama
